id;fecha;materiasobl;materiaselec;pendientesnota;biblioteca;cartera;impedimento;ceremoniagrados_id_id;historiaacademica_id_id
1;2023-05-05;true;false;false;true;true;false;1;1
2;2023-05-05;false;false;true;false;true;true;2;2
3;2023-05-04;false;true;true;true;true;true;3;3
4;2023-05-04;true;false;true;true;true;false;4;4
5;2023-05-04;false;true;true;false;false;true;5;5
6;2023-05-05;false;false;false;false;true;false;6;6
7;2023-05-05;true;true;true;true;false;true;7;7
8;2023-05-05;false;false;false;true;true;true;8;8
9;2023-05-05;false;false;false;false;false;true;9;9
10;2023-05-04;true;false;true;true;true;false;10;10
